wbid,wbtype,uid,batch
4164176316549328,comment,5056285947,2
4164176316549328,comment,5088008316,2
4164176316549328,comment,3269147290,2
4164176316549328,comment,2719112087,2
4164176316549328,comment,6027905180,2
4164176316549328,comment,3204578605,2
4164176316549328,comment,2204366292,2
4164176316549328,comment,3815994366,2
4164176316549328,comment,1732185795,2
4198434476999673,comment,1220407074,2
4198434476999673,comment,6465698821,2
4198434476999673,comment,1220407074,2
4198434476999673,comment,6465698821,2
4198434476999673,comment,6465698821,2
4198434476999673,comment,6465698821,2
4198434476999673,comment,1220407074,2
4173765077741717,comment,6329758910,2
4173765077741717,comment,5979004139,2
4198790078273320,comment,3612715343,2
4198790078273320,comment,1220407074,2
4198790078273320,comment,2802969342,2
4198790078273320,comment,1220407074,2
4198790078273320,comment,2342543290,2
4198790078273320,comment,5700088406,2
4198790078273320,comment,1776528055,2
4196196987382948,comment,2795707432,2
4196196987382948,comment,1220407074,2
4196196987382948,comment,1220407074,2
4196196987382948,comment,5863733868,2
4196196987382948,comment,2286094613,2
4196196987382948,comment,5077534809,2
4196196987382948,comment,5611150947,2
4196196987382948,comment,5077534809,2
4182277241482400,comment,1931636254,2
4182277241482400,comment,1732185795,2
4182277241482400,comment,1220407074,2
4182277241482400,comment,2319693650,2
4182277241482400,comment,2529403200,2
4182277241482400,comment,2529403200,2
4182277241482400,comment,1889240405,2
4182277241482400,comment,1220407074,2
4182277241482400,comment,1220407074,2
4182277241482400,comment,5566954139,2
4182277241482400,comment,1220407074,2
4182277241482400,comment,6077434966,2
4182277241482400,comment,2529403200,2
4182277241482400,comment,6064864882,2
4182277241482400,comment,5072203402,2
4182277241482400,comment,1889240405,2
4182277241482400,comment,1220407074,2
4182277241482400,comment,6064864882,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,5724135638,2
4169414905081640,comment,5669684890,2
4169414905081640,comment,3689344212,2
4169414905081640,comment,1667025097,2
4169414905081640,comment,1667025097,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,5512356885,2
4169414905081640,comment,5512356885,2
4169414905081640,comment,1588472027,2
4169414905081640,comment,5484141654,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,5319222879,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,5396919861,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,2704577802,2
4169414905081640,comment,2704577802,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,2696923994,2
4169414905081640,comment,5453456467,2
4169414905081640,comment,2984839404,2
4169414905081640,comment,2114247590,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,2291496734,2
4169414905081640,comment,5020090132,2
4169414905081640,comment,2984839404,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1305822153,2
4169414905081640,comment,3924809863,2
4169414905081640,comment,5072203402,2
4169414905081640,comment,2696923994,2
4169414905081640,comment,1993803210,2
4169414905081640,comment,2249225411,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1884473672,2
4169414905081640,comment,5642229399,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,2164244123,2
4169414905081640,comment,2249225411,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,2331647195,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,2783023781,2
4169414905081640,comment,2147457735,2
4169414905081640,comment,5724135638,2
4169414905081640,comment,6027905180,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1902768164,2
4169414905081640,comment,2164244123,2
4169414905081640,comment,5852449899,2
4169414905081640,comment,5724135638,2
4169414905081640,comment,5096238344,2
4169414905081640,comment,5642229399,2
4169414905081640,comment,1884473672,2
4169414905081640,comment,5096238344,2
4169414905081640,comment,1220407074,2
4169414905081640,comment,1667025097,2
4169414905081640,comment,5325565440,2
4167990741571256,comment,2696923994,2
4167990741571256,comment,1901221431,2
4167990741571256,comment,2862700284,2
4167990741571256,comment,2696923994,2
4167990741571256,comment,2696923994,2
4167990741571256,comment,1901221431,2
4167990741571256,comment,1901221431,2
4167990741571256,comment,1901221431,2
4172683757333936,comment,5160148264,2
4172683757333936,comment,6088594040,2
4172683757333936,comment,5630962717,2
4172683757333936,comment,1220407074,2
4172683757333936,comment,5930707536,2
4172683757333936,comment,2147457735,2
4172683757333936,comment,5442441087,2
4172683757333936,comment,6215097868,2
4172683757333936,comment,3574515087,2
4172683757333936,comment,5418416301,2
4172683757333936,comment,6085504733,2
4192136746909867,comment,5137242219,2
4192136746909867,comment,1220407074,2
4192136746909867,comment,5968607449,2
4192136746909867,comment,1732185795,2
4192136746909867,comment,5504072210,2
4192136746909867,comment,1220407074,2
4192136746909867,comment,6020873224,2
4192136746909867,comment,3669167607,2
4192136746909867,comment,5843691269,2
4192136746909867,comment,5504072210,2
4158034210758968,comment,5889651738,2
4158034210758968,comment,1960877207,2
4158034210758968,comment,2542549145,2
4158034210758968,comment,1220407074,2
4158034210758968,comment,2524358757,2
4158034210758968,comment,5700088406,2
4158034210758968,comment,2608727785,2
4158034210758968,comment,2683468644,2
4158034210758968,comment,6126748429,2
4158034210758968,comment,5806716491,2
4158034210758968,comment,2969408085,2
4158034210758968,comment,5899887324,2
4158034210758968,comment,5538404618,2
4158034210758968,comment,5953757372,2
4158034210758968,comment,6027905180,2
4158034210758968,comment,1220407074,2
4158034210758968,comment,2164244123,2
4158034210758968,comment,6294175028,2
4158034210758968,comment,3300582881,2
4158034210758968,comment,2429502533,2
4158034210758968,comment,5314503196,2
4165226130172833,comment,1732185795,2
4165226130172833,comment,5899887324,2
4165226130172833,comment,5180175388,2
4165226130172833,comment,1220407074,2
4165226130172833,comment,1993803210,2
4165226130172833,comment,2173595383,2
4165226130172833,comment,5114236019,2
4165226130172833,comment,5389909654,2
4165226130172833,comment,3788003960,2
4165226130172833,comment,2809007440,2
4165226130172833,comment,1732185795,2
4165226130172833,comment,5114236019,2
4165226130172833,comment,2944720297,2
4165226130172833,comment,5679748769,2
4165226130172833,comment,5727996644,2
4165226130172833,comment,5056285947,2
4165226130172833,comment,1220407074,2
4165226130172833,comment,1220407074,2
4165226130172833,comment,5056285947,2
4165226130172833,comment,5679748769,2
